id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count
1320845589249220610,deloitte,2020-10-26,21:51:43,"Let’s talk about #mentalhealth. 📽️ We are excited to collaborate with @OneYoungWorld on their Table Talk series, discussing mental health and reflections on our 2020 #MillennialSurvey.  https://t.co/lulE2wzVDO",8457092,+0000,"[{'screen_name': 'oneyoungworld', 'name': 'one young world', 'id': '19087563'}]","['mentalhealth', 'millennialsurvey']",2,19
1320741979819528193,deloitte,2020-10-26,15:00:00,The pandemic presents challenges for stakeholders to innovate at a quicker pace and redefine growth strategies.   Join us at the #FTPharma virtually as we delve into how the #pharma and #biotech sectors are rising to these challenges.    https://t.co/gEN9UCIRBC  https://t.co/Dhk084oZbF,8457092,+0000,[],"['ftpharma', 'pharma', 'biotech']",0,5
1320726882355187717,deloitte,2020-10-26,14:00:01,The #FutureofEnergy is being rewritten every day! How do you plan to thrive in an uncertain and disruptive landscape? Read the report:  https://t.co/oCVr2VtBtN,8457092,+0000,[],['futureofenergy'],0,11
1319987004990423041,deloitte,2020-10-24,13:00:00,Recent events have changed the way we work and forced us to re-examine how we do business. Join us 11 - 25 November for a series of discussions that explore how Workday #CloudTechnology can enable transformation in such crucial times.  https://t.co/7JDCj6ApK3  https://t.co/E5JCzifN7V,8457092,+0000,[],['cloudtechnology'],1,20
1319956300638408707,deloitte,2020-10-24,10:58:00,"As a UN @globalcompact-participating company, we at Deloitte are working to advance the #TenPrinciples and the @UN mission. #UNDay #UnitingBusiness  https://t.co/F3AjuaPtIY",8457092,+0000,"[{'screen_name': 'globalcompact', 'name': 'un global compact', 'id': '38704343'}, {'screen_name': 'un', 'name': 'united nations', 'id': '14159148'}]","['tenprinciples', 'unday', 'unitingbusiness']",0,17
1319745413893787650,deloitte,2020-10-23,21:00:01,"While businesses display a disconnect between talk &amp; action on #climatechange, the recent shutdowns offer a new opportunity for organizations to rethink their #sustainability efforts. Read how businesses can make #sustainability programs more meaningful.  https://t.co/arFU1c6mOK",8457092,+0000,[],"['climatechange', 'sustainability', 'sustainability']",0,9
1319669924659331072,deloitte,2020-10-23,16:00:02,Join our webinar on 29 Oct at 14:00 BST with @PetroleumEcon as we speak about decarbonizing the #shipping sector and explore the possible low-carbon solutions. Register now and block your calendar. @Shell @Citibank  https://t.co/LyaLyXhPl3  https://t.co/c2mDk9UsVz,8457092,+0000,"[{'screen_name': 'petroleumecon', 'name': 'petroleum economist', 'id': '21191494'}, {'screen_name': 'shell', 'name': 'shell', 'id': '20663500'}, {'screen_name': 'citibank', 'name': 'citibank', 'id': '80374332'}]",['shipping'],1,6
1319597187051945985,deloitte,2020-10-23,11:11:00,Register now for a webinar on October 28th with leaders from Deloitte’s Government &amp; Public Services practice and Global Economist Network on 2020 US election: Implications for the retail industry.  https://t.co/3Ufdj7SMZs  https://t.co/j4houkqfQR,8457092,+0000,[],[],1,12
1319367923924959235,deloitte,2020-10-22,20:00:00,"Can organizations earn, learn, and influence their #environments as the #FutureofEnergy unfolds? Explore the four scenarios to empower enterprise leaders and help make decisions in the short term.  https://t.co/RLhdaC104q",8457092,+0000,[],"['environments', 'futureofenergy']",0,6
1319316494191394819,deloitte,2020-10-22,16:35:38,Join us today at 2 PM ET to gain insights into the latest workforce trends and explore ways to prepare an organization for the #futureofwork.  https://t.co/nWLZeAMHN9,8457092,+0000,[],['futureofwork'],0,10
1319277336194240522,deloitte,2020-10-22,14:00:02,How can #decarbonization in shipping be accelerated? Hear from our industry experts in our upcoming webinar with @PetroleumEcon on 29 Oct at 14:00 BST. Register here to attend. @Shell @Citibank  https://t.co/ZJL4lkrHSL  https://t.co/Pao8aJJFFD,8457092,+0000,"[{'screen_name': 'petroleumecon', 'name': 'petroleum economist', 'id': '21191494'}, {'screen_name': 'shell', 'name': 'shell', 'id': '20663500'}, {'screen_name': 'citibank', 'name': 'citibank', 'id': '80374332'}]",['decarbonization'],0,9
1318960324976979972,deloitte,2020-10-21,17:00:21,Recent events have changed the way we work and forced us to re-examine how we do business. Join us 11 - 25 November for a series of discussions that explore how Workday #CloudTechnology can enable transformation in crucial times. Register today at:  https://t.co/0HQUSltczo  https://t.co/yzqRYZdkv7,8457092,+0000,[],['cloudtechnology'],0,9
1318884753953689601,deloitte,2020-10-21,12:00:03,.@IMOHQ has set an ambition to reduce #GHGemissions by at least 40% from #shipping by 2030. How can #shipping industry unite and take an urgent action? Register for our webinar on 29 Oct at 14:00 BST with @PetroleumEcon. @Shell @Citibank  https://t.co/pDQHc8FsgI  https://t.co/AahFGlhUf7,8457092,+0000,"[{'screen_name': 'imohq', 'name': 'imo', 'id': '174185083'}, {'screen_name': 'petroleumecon', 'name': 'petroleum economist', 'id': '21191494'}, {'screen_name': 'shell', 'name': 'shell', 'id': '20663500'}, {'screen_name': 'citibank', 'name': 'citibank', 'id': '80374332'}]","['ghgemissions', 'shipping', 'shipping']",2,11
1318565888489115648,deloitte,2020-10-20,14:53:00,"Today, join us for a #Dbriefs session to learn how hyper-connectivity expands #cyber-attack surfaces as risks can be even greater with the integration of emerging digital technologies.  https://t.co/EKRQ1f0aIB",8457092,+0000,[],"['dbriefs', 'cyber']",0,11
1318552582537740291,deloitte,2020-10-20,14:00:07,"Achieving net-zero emissions at Deloitte by 2030 requires major changes to how the organization conducts business. Learn more about WorldClimate, Deloitte's climate strategy:  https://t.co/Wxh1wKqKfu  https://t.co/AFbPgEX23x",8457092,+0000,[],[],0,15
1318190167065350144,deloitte,2020-10-19,14:00:01,"In the wake of #COVID19, Deloitte firms helped many clients quickly virtualize their operations and develop #crisisresponse plans using Deloitte’s resilient #leadership framework. Learn more:  https://t.co/yP42tqgwyB  https://t.co/vmIb8ojpwz",8457092,+0000,[],"['covid19', 'crisisresponse', 'leadership']",2,10
1318175072914386946,deloitte,2020-10-19,13:00:02,The tax landscape is constantly changing and businesses must tackle the complex challenges this entails. Find out how SAP S/4HANA and the Tax Digital Boardroom can help. Join our webcast on 21 October.  https://t.co/xLaV4hA5d6  https://t.co/4MFgeZRlhe,8457092,+0000,[],[],1,11
1317857985327149059,deloitte,2020-10-18,16:00:02,"Be prepared for the most unlikely outcomes with Deloitte’s #FutureofEnergy Scenario Planning. Explore the extensive #data-driven, reality-based insights to make intelligent and informed decisions.  https://t.co/3UFSFAvsuH",8457092,+0000,[],"['futureofenergy', 'data']",2,12
1317556491554070528,deloitte,2020-10-17,20:02:01,The biggest challenge that #manufacturers have experienced during the pandemic is disrupted #supplychains. What are the lessons learned?  https://t.co/W6aAXwIGBe  https://t.co/FxDTzCuT5v,8457092,+0000,[],"['manufacturers', 'supplychains']",1,30
1317540884636946433,deloitte,2020-10-17,19:00:00,"Agile operating models offer tax leaders new possibilities to accelerate change. They’ll gain access to new technology solutions, specialized expertise, and increased capacity—all at a lower cost.  https://t.co/MLYUVAxVnt",8457092,+0000,[],[],2,16
1317510686277292033,deloitte,2020-10-17,17:00:00,Read our #ResponsibleBusiness blog to learn how #COVID19 has raised urgency around life sciences supply chain transparency and reducing its role in promoting antimicrobial resistance. #TPRM  https://t.co/F6v8svorUU,8457092,+0000,[],"['responsiblebusiness', 'covid19', 'tprm']",3,10
1317238142978707456,deloitte,2020-10-16,22:57:01,Drive operational excellence through a data-driven #smartfactory with Deloitte on AWS. Watch our webinar to learn how. #Industry40   https://t.co/QJlLajlwby  https://t.co/vgbfWk78xw,8457092,+0000,[],"['smartfactory', 'industry40']",5,11
1317227557541060609,deloitte,2020-10-16,22:14:57,Check out this new blog post from Deloitte's Internal Sustainability Leader Kathy Alsegaf discussing our #worldclimate commitments. Excited to share that our #greenhousegas goals have been validated by @sciencetargets.   https://t.co/t4szetXgEn,8457092,+0000,"[{'screen_name': 'sciencetargets', 'name': 'science based targets', 'id': '2765959278'}]","['worldclimate', 'greenhousegas']",2,11
1317200390849519618,deloitte,2020-10-16,20:27:00,"Read how improving #diversity within the #fintech founder community can enable equal access to all forms of capital: human, financial, and social.  https://t.co/eKsvJqf9ls",8457092,+0000,[],"['diversity', 'fintech']",0,8
1317193602045456384,deloitte,2020-10-16,20:00:01,"Do you consider yourself an ally? Our Global Inclusion Leader, @emmajcodd, shares why being an LGBT+ ally is important, how #allyship can transform lives, and her insights on how we all can be strong allies.  https://t.co/zdALaxegeE #ImpactThatMatters @wef",8457092,+0000,"[{'screen_name': 'emmajcodd', 'name': 'emma codd', 'id': '2838024436'}, {'screen_name': 'wef', 'name': 'world economic forum', 'id': '5120691'}]","['allyship', 'impactthatmatters']",0,15
