id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1225136547961475077,ey_india,2020-02-06,00:48:09,We are pleased to have Jalaj Dani on the #EOYIndia2019 Awards Jury panel. Learn more about him and the EOY program at  https://t.co/fIsXEUdZpS @asianpaints @juliusbaer #BuildersOfaBetterIndia #Entrepreneurial  https://t.co/Q33WbfS2Qb,250391704,530,"['asianpaints', 'juliusbaer']","['EOYIndia2019', 'BuildersOfaBetterIndia', 'Entrepreneurial']",0,5,2,0,['http://spr.ly/601219Tvm'],we are pleased to have jalaj dani on the eoyindia2019 awards jury panel learn more about him and the eoy program at asianpaints juliusbaer buildersofabetterindia entrepreneurial,0.5,Positive,1
1225132509899493377,ey_india,2020-02-06,00:32:06,"Delighted to have @makemytrip Founder and CEO @deepkalra on the #EOYIndia2019 Awards Jury panel. To know more about him and the program, visit  https://t.co/R3ug6bhtfu #BuildersOfaBetterIndia @juliusbaer #Entrepreneurial  https://t.co/LTbYdAldYW",250391704,530,"['makemytrip', 'deepkalra', 'juliusbaer']","['EOYIndia2019', 'BuildersOfaBetterIndia', 'Entrepreneurial']",0,4,2,0,['http://spr.ly/601819TYu'],delighted to have makemytrip founder and ceo deepkalra on the eoyindia2019 awards jury panel to know more about him and the program visit buildersofabetterindia juliusbaer entrepreneurial,0.6,Positive,1
1225116753623240704,ey_india,2020-02-05,23:29:30,"#EYonBudget2020 | A clear miss in #Budget2020 was the failure to address the issue of taxation of Category-III Alternate Investment Funds, who will now have to deal with another year of ambiguity, writes EY Tax Partners Sameer Gupta and Brenden Saldanha:  https://t.co/T01rCG3gm1",250391704,530,[],"['EYonBudget2020', 'Budget2020']",0,1,1,0,['http://spr.ly/601219raI'],eyonbudget2020 a clear miss in budget2020 was the failure to address the issue of taxation of categoryiii alternate investment funds who will now have to deal with another year of ambiguity writes ey tax partners sameer gupta and brenden saldanha,-0.07222222222222223,Neutral,0
1225114999233949696,ey_india,2020-02-05,23:22:32,"#EYonBudget2020 | Finance Minister puts wealth creation and investments before fiscal restraint, writes EY India Director Shalini Mathur. Read her full column at:  https://t.co/4rfyfn0EOv @FinMinIndia @CNBCTV18News #Budget2020  https://t.co/YrzK1TcDNE",250391704,530,"['FinMinIndia', 'CNBCTV18News']","['EYonBudget2020', 'Budget2020']",0,2,1,0,['http://spr.ly/601719rql'],eyonbudget2020 finance minister puts wealth creation and investments before fiscal restraint writes ey india director shalini mathur read her full column at finminindia cnbctv18news budget2020,0.35,Positive,1
1225113108525584384,ey_india,2020-02-05,23:15:01,"#EYonBudget2020 | : Impetus to domestic industry, #cess on medical devices import right steps: @bipin_sapra. Read more at:  https://t.co/jkYu8dNnS7 @CNBCTV18News #Budget2020  https://t.co/q9spMmOCRU",250391704,530,"['bipin_sapra', 'CNBCTV18News']","['EYonBudget2020', 'cess', 'Budget2020']",0,1,1,0,['http://spr.ly/601819rYo'],eyonbudget2020 impetus to domestic industry cess on medical devices import right steps bipinsapra read more at cnbctv18news budget2020,0.19642857142857142,Positive,1
1225110210429227010,ey_india,2020-02-05,23:03:30,"Government introduces Vivad se Vishwas Bill, 2020 in the Parliament, detailing direct tax dispute settlement scheme, proposed in #Budget2020. @EY_India Partner Ganesh Raj calls it a long awaited measure, which will bring relief to taxpayers @FinMinIndia  https://t.co/7cLalcm65e  https://t.co/WMdezM0hGQ",250391704,530,"['EY_India', 'FinMinIndia']",['Budget2020'],0,5,3,0,['http://spr.ly/601419rbE'],government introduces vivad se vishwas bill 2020 in the parliament detailing direct tax dispute settlement scheme proposed in budget2020 eyindia partner ganesh raj calls it a long awaited measure which will bring relief to taxpayers finminindia,0.025,Neutral,0
1225081647411974144,ey_india,2020-02-05,21:10:00,"Take a look at the five key areas that can help business leaders build #trust, even as #AI continues to transform businesses.  https://t.co/krYuz6o1bX",250391704,530,[],"['trust', 'AI']",0,2,1,0,['http://spr.ly/6017193pB'],take a look at the five key areas that can help business leaders build trust even as ai continues to transform businesses,0.0,Neutral,0
1225064534156763137,ey_india,2020-02-05,20:02:00,"Understand how tax administrations are leading digital disruptions, using #data #analytics as the springboard for the future of tax.  https://t.co/RPEfC3SV3H",250391704,530,[],"['data', 'analytics']",0,2,1,0,['http://spr.ly/6011193r7'],understand how tax administrations are leading digital disruptions using data analytics as the springboard for the future of tax,0.0,Neutral,0
1225043898558550016,ey_india,2020-02-05,18:40:00,"Implementing #digital labor will allow Oil and gas companies to be the leader, not the laggard. Learn how  https://t.co/8KR6bbAqgs",250391704,530,[],['digital'],0,1,1,0,['http://spr.ly/6016193Po'],implementing digital labor will allow oil and gas companies to be the leader not the laggard learn how,0.0,Neutral,0
1225029792602345472,ey_india,2020-02-05,17:43:57,Thank you for being an integral part of our online community and for joining us in our journey to build a #BetterWorkingWorld  https://t.co/7HAkkj9uof,250391704,530,[],['BetterWorkingWorld'],0,5,1,0,[],thank you for being an integral part of our online community and for joining us in our journey to build a betterworkingworld,0.0,Neutral,0
1225012046963585024,ey_india,2020-02-05,16:33:26,"Watch #EOYIndia2019 Jury talk about the @EY_EOY Awards, significance of recognizing #entrepreneurs and selecting the year's finalists #BuildersOfaBetterIndia @udaykotak @deepkalra @GopalSri @KotakBankLtd @makemytrip @asianpaints @TVSCapitalFunds @juliusbaer #Entrepreneurial  https://t.co/vwO1MxJGhH",250391704,530,"['EY_EOY', 'udaykotak', 'deepkalra', 'GopalSri', 'KotakBankLtd', 'makemytrip', 'asianpaints', 'TVSCapitalFunds', 'juliusbaer']","['EOYIndia2019', 'entrepreneurs', 'BuildersOfaBetterIndia', 'Entrepreneurial']",0,6,4,0,[],watch eoyindia2019 jury talk about the eyeoy awards significance of recognizing entrepreneurs and selecting the years finalists buildersofabetterindia udaykotak deepkalra gopalsri kotakbankltd makemytrip asianpaints tvscapitalfunds juliusbaer entrepreneurial,0.0,Neutral,0
1224972934915162114,ey_india,2020-02-05,13:58:01,#Digital is both a disruptor of the #finance function as well as one of the most effective means of addressing disruption for #CFOs. Discover how to make businesses future ready at:  https://t.co/lDZhhAjtDL #EYIndiaFAASDigitalSolutions @Sandip_khetan @Vish_EY #EYFAAS  https://t.co/zmgkjFD0xF,250391704,530,"['Sandip_khetan', 'Vish_EY']","['Digital', 'finance', 'CFOs', 'EYIndiaFAASDigitalSolutions', 'EYFAAS']",0,2,3,0,['http://spr.ly/601119zuV'],digital is both a disruptor of the finance function as well as one of the most effective means of addressing disruption for cfos discover how to make businesses future ready at eyindiafaasdigitalsolutions sandipkhetan vishey eyfaas,0.26,Positive,1
1224970031009869825,ey_india,2020-02-05,13:46:28,"#EYFAAS | Join us for Live #webcast on practical challenges and best practices for Lease Accounting - #IndAS 116 on Thursday, 20 February, 11 a.m. (IST). Register now at:  https://t.co/tedaAZCXBA @DrDeveshPrakas2  https://t.co/glirZCaBio",250391704,530,['DrDeveshPrakas2'],"['EYFAAS', 'webcast', 'IndAS']",0,3,4,0,['http://spr.ly/601519zyL'],eyfaas join us for live webcast on practical challenges and best practices for lease accounting indas 116 on thursday 20 february 11 am ist register now at drdeveshprakas2,0.5681818181818181,Positive,1
1224957193184858112,ey_india,2020-02-05,12:55:28,#EOYIndia2019 | I am a believer that India is a nation of #entrepreneurs and what I find very interesting about EY (EOY) Awards is a focus on #entrepreneurship: @udaykotak. Watch him and other Jury members talk about @EY_EOY Awards program at:  https://t.co/EpN06KZ6gr @juliusbaer,250391704,530,"['udaykotak', 'EY_EOY', 'juliusbaer']","['EOYIndia2019', 'entrepreneurs', 'entrepreneurship']",0,2,2,0,['http://spr.ly/601119KwZ'],eoyindia2019 i am a believer that india is a nation of entrepreneurs and what i find very interesting about ey eoy awards is a focus on entrepreneurship udaykotak watch him and other jury members talk about eyeoy awards program at juliusbaer,0.2625,Positive,1
1224948378154557440,ey_india,2020-02-05,12:20:26,"Government proposes to amend #CustomsAct to give it wide powers to ban imports and exports of goods that may hurt the local economy, reports @livemint. @EY_India  Tax Partner Abhishek Jain (@Abhishe21029822) says this may help boost local #manufacturing  https://t.co/ppueG1yAZM  https://t.co/ovrSPI6d23",250391704,530,"['livemint', 'EY_India', 'Abhishe21029822']","['CustomsAct', 'manufacturing']",0,1,1,0,['http://spr.ly/601719KBz'],government proposes to amend customsact to give it wide powers to ban imports and exports of goods that may hurt the local economy reports livemint eyindia tax partner abhishek jain abhishe21029822 says this may help boost local manufacturing,-0.03333333333333333,Neutral,0
1224939965261533184,ey_india,2020-02-05,11:47:00,"Leaders are custodians of organizational ethics, says Arpinder Singh, India and Emerging Markets Leader, #EYForensics in conversation with @thrive_india #IntegrityAgenda  https://t.co/QgAtCadUkQ",250391704,530,['thrive_india'],"['EYForensics', 'IntegrityAgenda']",0,1,1,0,['http://spr.ly/601919JQb'],leaders are custodians of organizational ethics says arpinder singh india and emerging markets leader eyforensics in conversation with thriveindia integrityagenda,0.0,Neutral,0
1224719259688935425,ey_india,2020-02-04,21:10:00,The digitally-enabled insurers of the future will succeed by putting customers at the core of everything they do. Learn more   https://t.co/lEov9lVB7n #digital,250391704,530,[],['digital'],0,1,1,0,['http://spr.ly/60111gAHx'],the digitallyenabled insurers of the future will succeed by putting customers at the core of everything they do learn more digital,0.16666666666666666,Positive,1
1224702147054440453,ey_india,2020-02-04,20:02:00,What should organizations consider when looking to move up the #data and analytics maturity curve? Find out more  https://t.co/EXEINnvSXG,250391704,530,[],['data'],0,1,1,0,['http://spr.ly/60171gA6x'],what should organizations consider when looking to move up the data and analytics maturity curve find out more,0.5,Positive,1
1224700680373338113,ey_india,2020-02-04,19:56:10,Watch @rajivmemani share insights on implications of direct tax proposals stated in #Budget2020 at @FollowCII today #EYonBudget2020,250391704,530,"['rajivmemani', 'FollowCII']","['Budget2020', 'EYonBudget2020']",0,4,4,0,[],watch rajivmemani share insights on implications of direct tax proposals stated in budget2020 at followcii today eyonbudget2020,0.1,Positive,1
1224681119209095168,ey_india,2020-02-04,18:38:26,Focusing on three priorities can help organizations manage risks and seize the opportunity to be a trust leader. What are they? Find out here  https://t.co/XJfKIjPxZh #risk,250391704,530,[],['risk'],0,2,2,0,['http://spr.ly/60171gf45'],focusing on three priorities can help organizations manage risks and seize the opportunity to be a trust leader what are they find out here risk,0.0,Neutral,0
1224625005998198785,ey_india,2020-02-04,14:55:28,"#EYonBudget2020 | Focus on #infrastructure and structural changes should benefit the #auto industry from a long-term perspective, says Pramod Achuthan, Tax Leader - Automotive, EY India. Read his full column at:  https://t.co/3Du6ArZC1k @CNBCTV18News  https://t.co/ragilbsvNO",250391704,530,['CNBCTV18News'],"['EYonBudget2020', 'infrastructure', 'auto']",0,2,1,0,['http://spr.ly/60121gNmK'],eyonbudget2020 focus on infrastructure and structural changes should benefit the auto industry from a longterm perspective says pramod achuthan tax leader automotive ey india read his full column at cnbctv18news,0.35,Positive,1
1224621373777240065,ey_india,2020-02-04,14:41:02,#EYonBudget2020 | @EY_India Tax Partner Ravi Mahajan shares key announcements for #startups and #ecommerce from #Budget2020 and the positive impact they are likely to bring to the #technology sector:   https://t.co/PKktKUlk8d @CNBCTV18News  https://t.co/P4YmEk1FCP,250391704,530,"['EY_India', 'CNBCTV18News']","['EYonBudget2020', 'startups', 'ecommerce', 'Budget2020', 'technology']",0,1,2,0,['http://spr.ly/60131gNdx'],eyonbudget2020 eyindia tax partner ravi mahajan shares key announcements for startups and ecommerce from budget2020 and the positive impact they are likely to bring to the technology sector cnbctv18news,0.07575757575757576,Neutral,0
1224613469636435968,ey_india,2020-02-04,14:09:38,"What is the next generation of financial services and how is technology reshaping the future of financial services? Kartik Krishnan, Partner, EY shares views on the next wave automation at BFSI’s Intelligent Automation Meet 2020, held in Bengaluru. #RPA #digital  https://t.co/p9vOvzoO59",250391704,530,[],"['RPA', 'digital']",0,4,1,0,[],what is the next generation of financial services and how is technology reshaping the future of financial services kartik krishnan partner ey shares views on the next wave automation at bfsis intelligent automation meet 2020 held in bengaluru rpa digital,0.1142857142857143,Positive,1
1224610655325630465,ey_india,2020-02-04,13:58:27,"Organizations can take several steps to encourage ethical and acceptable behaviour at the workplace such as having the right tone at the top, a key factor which defines its culture: #EYForensics #IntegrityAgenda @thrive_india  https://t.co/v4sWso2L9f  https://t.co/eQJfBE5CtT",250391704,530,['thrive_india'],"['EYForensics', 'IntegrityAgenda']",0,2,2,0,['http://spr.ly/60101gN8C'],organizations can take several steps to encourage ethical and acceptable behaviour at the workplace such as having the right tone at the top a key factor which defines its culture eyforensics integrityagenda thriveindia,0.16428571428571428,Positive,1
